Id,group,sex,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
3200001,Com,G,"26/08/2020
9,000/-",,"26/08/2020
9,000/-",,"26/08/2020
9,000/-",,"26/08/2020
9,000/-

28/01/21
1682
O/fee=6500
Oct to Janu/21
Paid in Janu/21",,,,"28/01/21
1682
O/fee=6500
Oct to Janu/21
Paid in Janu/21","28/01/21
1682
O/fee=6500
Oct to Janu/21
Paid in Janu/21","28/01/21
1682
O/fee=6500
Oct to Janu/21
Paid in Janu/21","28/01/21
1682
O/fee=6500
Oct to Janu/21
Paid in Janu/21",,,,
3200002,Com,boy,"26/08/2020
9,000/-",,"26/08/2020
9,000/-",,"26/08/2020
9,000/-",,"26/08/2020
9,000/-",Less 30% in Tuition fee for Oct/20.,,Less 30% in Tuition fee for Oct/20.,,,"25/01/21
1706",,,,,"06/06/21
1707"
3200003,Com,G,"26/08/2020
9,000/-",,"26/08/2020
9,000/-",,"26/08/2020
9,000/-",,"26/08/2020
9,000/-",,,,"07/11/2020
1730
Oct/2020
Paid to Nov/2020","07/11/2020
1730
Oct/2020
05/12/2020
1731
Nov/20
Paid in Dec/20","05/12/2020
1731
Nov/20
10/01/2021
By bkash
C=2870
H=1950
T=4820
Dec/20
Paid in Jany/21","10/01/2021
By bkash
C=2870
H=1950
T=4820
Dec/20
Paid in Jany/21","08/02/21
1733
Janu/21","11/03/21
By bkash
C=2870
H=1950","06/04/2021
By bkash
C=2870
H=1950
T=4820",
3200004,Com,G,"27/08/2020
9,000/-",,"27/08/2020
9,000/-",,"27/08/2020
9,000/-",,"27/08/2020
9,000/-",,,,"28/01/21
1754
Oct + Nov/20
Paid in janu/21","28/01/21
1754
Oct + Nov/20
Paid in janu/21",,"28/01/21
1754
Oct + Nov/20
Paid in janu/21",,,"29/04/2021
1756
Dec/20 to April/21
O/fee=6500
",
3200005,Com,boy,"27/08/2020
9,000/-",,"27/08/2020
9,000/-",,"27/08/2020
9,000/-",,"27/08/2020
9,000/-",Less 30% in Tuition fee for Oct/20.,"11.10.2020
Bkash=10,830/-
College=8,670/-
Hostel=2,160/-",Less 30% in Tuition fee for Oct/20.,"09/11/2020
By bkash
C=2170
H=2160
T=4330","13/12/2020
By bkash
C=2170
H=2160
T=4330
Dec/20","14/01/2021
By bkash
C=2170
H=2160
T=4330
","18/022/1
By bkash
C=2170
H=2160
T=4330",,,,
3200006,Com,boy,"27/08/2020
9,000/-",,"27/08/2020
9,000/-",,"27/08/2020
9,000/-",,"27/08/2020
9,000/-

29/12/2020
1926
Oct to Dec/20
O/fee=6500
Paid in /dec/20",Less 30% in Tuition fee for Oct/20.,"29/12/2020
1926
Oct to Dec/20
O/fee=6500
Paid in /dec/20",Less 30% in Tuition fee for Oct/20.,"29/12/2020
1926
Oct to Dec/20
O/fee=6500
Paid in /dec/20","29/12/2020
1926
Oct to Dec/20
O/fee=6500
Paid in /dec/20","25/01/21
1927",,,,,"05/06/21
1928
Up to June/21"
3200007,Com,G,"27/08/2020
9,000/-",,"27/08/2020
9,000/-",,"27/08/2020
9,000/-",,"27/08/2020
9,000/-

26/01/21
1954
O/fee=6500
Paid in Janu/21",,,,"10/10/20
1950
paid to Oct/20","07/11/2020
1951
","10/12/2020
1952
O/fee 6500 Due","13/01/2021
1953
26/01/21
1954
O/fee=6500
Paid in Janu/21","15/02/21
1955","15/03/21
1956",,"27/05/21
1957
"
3200008,Com,boy,"28/08/2020
15,500/-",,"28/08/2020
15,500/-",,"28/08/2020
15,500/-",,"28/08/2020
15,500/-",Less 30% in Tuition fee for Oct/20.,"08.10.2020
Bkash=6,010/-
College=3,570/-
Hostel=2,440/-",Less 30% in Tuition fee for Oct/20.,"09/01/21
2263
Nov + Dec/20
Paid in Janu/21","09/01/21
2263
Nov + Dec/20
Paid in Janu/21","09/01/21
2263
Nov + Dec/20
Paid in Janu/21
23/01/2021
55930
Janu/21
Paid in Janu/21",,,,"03/05/21
By bkash
C=14280
H=2910
T=17190","03/06/21
9340
June/21"
3200009,Com,G,"28/08/2020
9,000/-",,"28/08/2020
9,000/-",,"28/08/2020
9,000/-",,"28/08/2020
9,000/-
08/10/20
2046
O/fee=6500
paid to Oct/20",,,,"08/10/20
2046
O/fee=6500
Oct=3570","08/11/2020
2047
","07/01/2021
2048
27/01/2021
2049
Dec/20
Paid in Janu/21","07/01/2021
2048
Dec/20
27/01/2021
2049
Janu/20
Paid in Janu/21","09/02/21
2050
Feb/21",,,
3200010,Com,boy,"28/08/2020
9,000/-",,"28/08/2020
9,000/-",,"28/08/2020
9,000/-",,"28/08/2020
9,000/-
28/01/21
2070
Oct to Janu/21
O/fee=6500
Paid in janu/21",Less 30% in Tuition fee for Oct/20.,"28/01/21
2070
Oct to Janu/21
O/fee=6500
Paid in janu/21",Less 30% in Tuition fee for Oct/20.,"28/01/21
2070
Oct to Janu/21
O/fee=6500
Paid in janu/21","28/01/21
2070
Oct to Janu/21
O/fee=6500
Paid in janu/21","28/01/21
2070
Oct to Janu/21
O/fee=6500
Paid in janu/21",,,,,
3200011,Com,boy,"30/08/2020
9,000/-",,"30/08/2020
9,000/-",,"30/08/2020
9,000/-",,"30/08/2020
9,000/-

08.10.2020
2118
Oct/20 Less=30%
Others fee=6,500/-",Less 30% in Tuition fee for Oct/20.,"08.10.2020
2118
Oct/20 Less=30%
Others fee=6,500/-",Less 30% in Tuition fee for Oct/20.,"03/11/2020
2119
","02/12/2020
2120","03/01/2021
2121
25/01/21
Feb/21
Paid in janu/21","25/01/21
Feb/21
Paid in janu/21","03/03/21
2123
","03/04/2021
2124
","04/05/21
2125
24/05/21
2126
June/21",
3200012,Com,boy,"30/08/2020
9,000/-",,"30/08/2020
9,000/-",,"30/08/2020
9,000/-",,"30/08/2020
9,000/-
14/11/2020
2094
O/fee 6,500/-
Paid to Nov/2020",Less 30% in Tuition fee for Oct/20.,,Less 30% in Tuition fee for Oct/20.,"14/11/2020
2094
O/fee 6,500/-
Paid to Nov/2020
07/12/2020
095
Oct + Nov/20
Paid in Dec/20","07/12/2020
2095
Oct + Nov/20
09/01/2021
2096
Dec/20
Paid in Janu/21","09/01/2021
2096
Dec/20
Paid in Janu/21
25/01/21
2097
Janu/21
","08/02/21
2098","06/03/21
2099",,,"06/06/21
2100
Up to June/21"
3200013,Com,G,"02/09/2020
2,000/-",,"02/09/2020
2,000/-",,,,,,,,,,,,"07/02/21
9362
S/c=5000
Dev fee=500
",,,"06/05/21
9363
O/fee=4000 Due=4000/-"
